éûä‘,HMDxç¿ïW,HMDyç¿ïW,HMDzç¿ïW
279,-0.05301076,1.371143,0.6002609
280,-0.05291158,1.371125,0.6002322
281,-0.05285373,1.37118,0.6002239
282,-0.05276215,1.371176,0.6002096
283,-0.05269754,1.371124,0.6002163
284,-0.05262777,1.371126,0.6001939
285,-0.05257529,1.371136,0.600175
286,-0.05252123,1.371168,0.6001452
287,-0.05246115,1.371201,0.6000851
288,-0.05238196,1.371238,0.6000568
289,-0.05236107,1.371233,0.5999531
290,-0.05227613,1.371202,0.5999089
291,-0.05222049,1.371239,0.5998622
292,-0.05212045,1.37127,0.5998379
293,-0.0520581,1.371286,0.599846
294,-0.0520128,1.371245,0.59982
295,-0.05192217,1.37122,0.599785
296,-0.05188179,1.371192,0.5998119
297,-0.0518398,1.371179,0.5997704
298,-0.05182436,1.371185,0.5997072
299,-0.05174813,1.371154,0.5997392
300,-0.05173171,1.371145,0.5997008
301,-0.05168083,1.371177,0.5996946
302,-0.05165449,1.371166,0.599697
303,-0.05166823,1.371152,0.5996674
304,-0.0516631,1.37115,0.5996722
305,-0.05166793,1.371151,0.5996748
306,-0.05166307,1.371127,0.5996736
307,-0.05166271,1.371128,0.59965
308,-0.05168608,1.371099,0.599672
309,-0.05169249,1.371101,0.5997053
310,-0.05165759,1.371119,0.5996166
311,-0.0516209,1.371099,0.5995971
312,-0.0515821,1.371117,0.5996066
313,-0.05155313,1.371087,0.5996031
314,-0.05155092,1.371054,0.5995711
315,-0.05153951,1.370995,0.5996069
316,-0.05157769,1.371009,0.5994917
317,-0.05155104,1.371034,0.5995425
318,-0.05155846,1.37105,0.5995303
319,-0.05156246,1.371011,0.5994974
320,-0.05156195,1.370962,0.5994791
321,-0.05155605,1.370988,0.5993639
322,-0.05155492,1.370955,0.5993108
323,-0.05152825,1.370886,0.5992459
324,-0.05154389,1.370852,0.5992056
325,-0.05157834,1.370836,0.5991298
326,-0.05160695,1.370773,0.5991043
327,-0.0516465,1.370742,0.5990564
328,-0.05167249,1.37072,0.5990313
329,-0.05169863,1.370681,0.5989789
330,-0.05174232,1.370662,0.5989035
331,-0.05176923,1.370606,0.5988799
332,-0.05175826,1.370522,0.5988551
333,-0.05178061,1.370502,0.5988411
334,-0.05173767,1.370497,0.5987912
335,-0.05178177,1.370514,0.5987264
336,-0.05175394,1.370482,0.59874
337,-0.05172613,1.370482,0.5986599
338,-0.05170619,1.370488,0.5986236
339,-0.05165896,1.370485,0.5986134
340,-0.05162802,1.370498,0.5985554
341,-0.05158058,1.370514,0.5985545
342,-0.05153266,1.370519,0.5985409
343,-0.0514935,1.370495,0.5984818
344,-0.05143139,1.37046,0.5985202
345,-0.05138656,1.370463,0.5984715
346,-0.05138147,1.370557,0.5984133
347,-0.051357,1.370581,0.5983614
348,-0.05135584,1.370561,0.5983576
349,-0.0513081,1.37059,0.5983218
350,-0.05126342,1.370674,0.5982505
351,-0.05121818,1.370705,0.5982493
352,-0.05113104,1.370785,0.5981616
353,-0.05106601,1.370823,0.5981258
354,-0.05100727,1.37085,0.5981053
355,-0.05095655,1.370847,0.5981606
356,-0.05090511,1.37086,0.5981423
357,-0.05082127,1.370914,0.5981482
358,-0.05074635,1.370923,0.5980939
359,-0.05065057,1.370934,0.5980846
360,-0.05058753,1.37094,0.5980743
361,-0.05047953,1.370942,0.59805
362,-0.050392,1.370946,0.5980572
363,-0.05029631,1.370968,0.5980469
364,-0.05019596,1.370997,0.5979654
365,-0.05008805,1.371022,0.5979539
366,-0.04995456,1.371024,0.5979425
367,-0.04986036,1.371071,0.5979275
368,-0.04973787,1.371091,0.5979296
369,-0.04961756,1.371139,0.5978867
370,-0.04949325,1.371156,0.5978845
371,-0.04943004,1.371166,0.5977927
372,-0.04930857,1.371174,0.5977882
373,-0.04919839,1.371234,0.5977341
374,-0.04908353,1.371261,0.597701
375,-0.04895478,1.371298,0.5976239
376,-0.04884064,1.371344,0.5976108
377,-0.04870945,1.371372,0.597659
378,-0.04833031,1.37149,0.5976728
379,-0.04827356,1.371503,0.5977546
380,-0.04821247,1.37152,0.597773
381,-0.04814625,1.371452,0.5978185
382,-0.04807219,1.371386,0.5977894
383,-0.04808486,1.371369,0.5977143
384,-0.04804721,1.371372,0.5977811
385,-0.04804468,1.371401,0.5977541
