Blink,time,count,tempblink
49.40832,6,50,0
49.50961,6,50,0
49.61425,6,50,0
49.71811,6,50,0
49.82325,6,50,0
49.9271,6,50,0
50.03279,6,50,0
50.13594,6,51,0
50.23912,6,51,0
50.34568,6,51,0
50.4537,6,51,0
50.55442,6,51,0
50.65767,6,51,0
50.76324,6,51,0
50.86448,6,51,0
50.96507,6,51,0
51.07243,6,51,0
51.17367,6,52,0
51.2821,6,52,0
51.38592,6,52,0
51.50377,6,52,0
51.60719,6,52,0
51.71419,6,52,0
51.81766,6,52,0
51.92566,6,52,0
52.02697,6,52,0
52.13823,6,53,0
52.24334,6,53,0
52.35301,6,53,0
52.45599,6,53,0
52.56215,6,53,0
52.66708,6,53,0
52.76916,6,53,0
52.8708,6,53,0
52.97747,6,53,0
53.08147,6,53,0
53.19025,6,54,0
53.2938,6,54,0
53.39954,6,54,0
53.50512,6,54,0
53.61337,6,54,0
53.7179,6,54,0
53.82621,6,54,0
53.93026,6,54,0
54.03322,6,54,0
54.13477,6,55,0
54.2388,6,55,0
54.36068,6,55,0
54.46409,6,55,0
54.57444,6,55,0
54.68252,6,55,0
54.79013,6,55,0
54.89575,6,55,0
55.00081,6,55,0
55.11712,6,56,0
55.23239,6,56,0
55.34464,6,56,0
55.44916,6,56,0
55.56551,6,56,0
55.68476,6,56,0
55.801,6,56,0
55.91523,6,56,0
56.02792,6,56,0
56.12792,6,57,0
56.24255,6,57,0
56.3524,6,57,0
56.46822,6,57,0
56.5825,6,57,0
56.69671,6,57,0
56.81496,6,57,0
56.91514,6,57,0
57.0199,6,57,0
57.27921,6,58,0
57.38698,6,58,0
57.48733,6,58,0
57.58737,6,58,0
57.70193,6,58,0
57.80547,6,58,0
57.9229,6,58,0
58.02316,6,58,0
58.14412,6,59,0
58.26138,6,59,0
58.3799,6,59,0
58.49723,6,59,0
58.59729,6,59,0
58.72009,6,59,0
58.84005,6,59,0
58.94325,6,59,0
59.04699,6,59,0
59.16047,6,60,0
59.27835,6,60,0
59.39225,6,60,0
59.50778,6,60,0
59.62429,6,60,0
59.73797,6,60,0
59.85064,6,60,0
59.9649,6,60,0
60.08363,6,60,0
60.19762,6,61,0
60.31506,6,61,0
60.42458,6,61,0
60.53611,6,61,0
60.64547,6,61,0
60.75978,6,61,0
60.87495,6,61,0
60.98932,6,61,0
61.1024,6,61,0
61.21628,6,62,0
61.33432,6,62,0
61.44523,6,62,0
61.56055,6,62,0
61.67569,6,62,0
61.77633,6,62,0
61.88928,6,62,0
62.00308,6,62,0
62.11903,6,63,0
62.23348,6,63,0
62.35278,6,63,0
62.4646,6,63,0
62.57354,6,63,0
62.68569,6,63,0
62.80122,6,63,0
62.91037,6,63,0
63.02425,6,63,0
63.14219,6,64,0
63.25904,6,64,0
63.36203,6,64,0
63.47678,6,64,0
63.58575,6,64,0
63.69875,6,64,0
63.81727,6,64,0
63.92651,6,64,0
64.03778,6,64,0
64.15545,6,65,0
64.27146,6,65,0
64.38523,6,65,0
64.50028,6,65,0
64.61552,6,65,0
64.72805,6,65,0
64.84516,6,65,0
64.94557,6,65,0
65.05972,6,65,0
65.17198,6,66,0
65.28828,6,66,0
65.40253,6,66,0
65.5195,6,66,0
65.63278,6,66,0
65.75161,6,66,0
65.86508,6,66,0
65.96529,6,66,0
66.08292,6,66,0
66.19965,6,67,0
66.31737,6,67,0
66.43253,6,67,0
66.53609,6,67,0
66.65311,6,67,0
66.77287,6,67,0
66.88719,6,67,0
67.00398,6,67,0
