time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,LeftBlink,RightBlink,CombineFocusPoint X,CombineFocusPoint Y,CombineFocusPoint Z
267.5579,0.00955081,0.07817322,-0.3146213,0.0001098514,1,1,114.7435,0,82.50652
268.0692,-0.09253019,0.1027508,-0.4057952,0.01295507,1,1,115.7024,0.2332454,83
268.5854,0.09834599,0.0814209,-0.2117187,-0.01887691,1,1,118.4318,0.3276854,87
269.1032,-0.07404405,0.1022732,-0.4079306,-0.0009675026,1,1,115.7238,0.3394923,83
269.6207,0.09642577,0.08673048,-0.2020465,-0.01907444,1,1,114.072,0,86.47329
270.1478,-0.03988892,0.1061614,-0.3478656,0.003800035,0.9810322,0.9867266,111.7251,0.490508,83
270.6509,0.09801483,0.1349756,-0.2175823,0.01786774,1,1,110.4164,0,89.72693
271.1715,0.4854095,0.01706469,0.2407025,-0.1886441,0.3600155,0.4071331,0,0,0
271.695,0.04039502,0.1162181,-0.2447098,0.01585776,0.8594334,0.92976,112.6567,0.3995733,83
272.2068,0.05628359,0.1258541,-0.2506549,0.01023561,1,1,114.4693,0.1,87.08217
272.7309,-0.1046897,0.1312361,-0.4295503,0.05415559,1,1,113.5877,0.1,86.7475
273.2497,-0.08035338,0.1129686,-0.399429,0.02691346,1,1,114.9381,0.1,88.29004
273.7633,0.2462326,0.1222488,-0.04763412,-0.002940416,1,1,118.3642,0,90.91386
274.284,0.2348444,0.0397526,-0.09601301,-0.08051538,1,1,117.594,0,90.16216
274.8024,0.09896851,0.08288193,-0.2055272,-0.02306747,0.9477977,0.976762,117.4122,0.1,90.21851
275.3229,0.01845753,0.1008686,-0.2342053,-0.001423478,0.8494002,0.7779064,117.1062,0.1,89.94701
275.8439,-0.08218598,0.06963503,-0.3775705,-0.04277205,0.8389845,0.6512102,113.4709,0.9826254,91
276.3571,0.03280783,0.1185516,-0.2862554,0.01383758,1,1,114.0239,0.1,86.61364
276.866,-0.1171788,0.1281262,-0.4331082,0.04467893,1,1,113.6302,0.1,85.32955
277.39,-0.1484334,-0.06091881,0.123263,-0.09106052,0.2843644,0.3174728,0,0,0
277.9036,0.04805112,0.1370091,-0.2662523,0.03770399,1,1,119.8634,0.1,82.67173
278.4257,-0.04517168,0.1200027,-0.3505445,0.02536577,1,1,119.8055,0,82.77695
278.9462,0.1189249,0.07465911,-0.1941623,-0.04754865,1,1,121.0631,0.1,82.99942
279.4513,-0.1258809,0.1234701,-0.4600354,0.02563459,1,1,122.2597,0,86.78825
279.9538,0.1881539,0.058451,-0.1328287,-0.06043243,1,1,123,0.5074732,84.87661
280.4755,0.1103435,0.1313211,-0.2101925,0.01274663,1,1,128.0827,0,85.33249
280.977,0.1269867,0.1125742,-0.1835968,0.00110662,1,1,128.445,0.1,85.55985
281.4977,-0.1664394,0.01192594,-0.06162047,-0.06816757,0.4142719,0.5322241,0,0,0
282.022,0.1880357,0.09425336,-0.1281248,-0.03137302,1,1,125.9823,0.1,85.9902
282.5225,0.2279408,0.121555,-0.08283418,0.0009874105,1,1,127.5896,0.1,85.51044
283.0275,0.1805056,0.1147656,-0.1267975,-0.002821922,1,1,127.8495,0.1,85.67009
283.5328,0.5412698,0.05265564,0.2223449,-0.116946,0.8378482,0.8113012,131,0.5443211,84.27652
284.0446,0.1768721,0.07119232,-0.1246084,-0.03434741,1,1,129.9126,0,82.25849
284.5595,0.04770267,-0.04007781,-0.3435985,-0.162961,0.5960419,0.5763761,130.3179,0,85.54714
