éûä‘,HMDxç¿ïW,HMDyç¿ïW,HMDzç¿ïW
3.161869,-0.0535081,1.371162,0.6039406
3.172663,-0.05350131,1.37122,0.6038998
3.183006,-0.05353943,1.371197,0.603861
3.194828,-0.05351996,1.371192,0.6038374
3.205538,-0.05353916,1.371192,0.6037487
3.215454,-0.05351403,1.371171,0.6037196
3.226387,-0.05352315,1.371154,0.603644
3.237112,-0.05356508,1.371151,0.603603
3.246306,-0.05359218,1.371138,0.6035277
3.25661,-0.0536167,1.371129,0.6034611
3.268907,-0.05361587,1.371086,0.6034166
3.279973,-0.05363944,1.371079,0.6033584
3.292202,-0.05361855,1.371019,0.6033412
3.302343,-0.05362046,1.371009,0.6033159
3.312758,-0.05361041,1.370992,0.6032499
3.324478,-0.05359188,1.370969,0.6032053
3.337439,-0.05356222,1.370964,0.6031326
3.349012,-0.05355653,1.370942,0.6030792
3.359485,-0.05357391,1.370938,0.6030055
3.370499,-0.05359179,1.370981,0.602887
3.380359,-0.05362153,1.371016,0.6028212
3.389929,-0.05361724,1.371035,0.6027335
3.399236,-0.05360216,1.37107,0.6026036
3.410968,-0.05362129,1.371039,0.6024929
3.421298,-0.05362585,1.371051,0.6023849
3.433063,-0.05367973,1.371057,0.6022719
3.444241,-0.05367693,1.370998,0.6022311
3.455292,-0.05371389,1.371024,0.6021506
3.465716,-0.05371729,1.371075,0.6020256
3.476964,-0.05372503,1.371087,0.6019608
3.488882,-0.05371949,1.371073,0.6019212
3.498397,-0.05371425,1.371033,0.6017851
3.511979,-0.05378219,1.371029,0.6016799
3.523305,-0.0537875,1.371014,0.6016108
3.533327,-0.053817,1.371019,0.6015173
3.544595,-0.0538187,1.371027,0.6014084
3.556787,-0.0538677,1.37106,0.6013449
3.567687,-0.05389774,1.371009,0.6012985
3.577926,-0.0539065,1.37097,0.6012326
3.590743,-0.05389369,1.371031,0.6011947
3.601001,-0.05391112,1.370999,0.60118
3.612438,-0.05387822,1.371013,0.6011668
3.624839,-0.05387127,1.371037,0.6010777
3.636557,-0.05383661,1.371017,0.6010443
3.647416,-0.05378598,1.371003,0.6010312
3.65977,-0.05377188,1.370984,0.6010131
3.671491,-0.05376187,1.37092,0.6009654
3.68369,-0.05370903,1.370898,0.600849
3.695609,-0.05366567,1.370879,0.6007999
3.70647,-0.05363727,1.370874,0.6008643
3.716473,-0.05363217,1.37087,0.6008183
3.726906,-0.05360219,1.370895,0.6007868
3.737905,-0.05361798,1.370888,0.6007029
3.747155,-0.0535709,1.370901,0.6006461
3.758567,-0.05354613,1.370916,0.6006211
3.769553,-0.05350599,1.370955,0.6006175
3.780098,-0.05346486,1.370944,0.6005167
3.792593,-0.05345306,1.370915,0.6004571
3.802771,-0.05340719,1.37092,0.6004122
3.814002,-0.05334273,1.370922,0.600403
3.825684,-0.05330625,1.370951,0.6003853
3.836868,-0.0532364,1.371011,0.6004118
3.847847,-0.05325192,1.371001,0.6003398
3.858891,-0.05320379,1.371019,0.6003462
3.869951,-0.05318412,1.371057,0.6003238
3.879717,-0.05313852,1.371081,0.6003433
3.891636,-0.05306557,1.371139,0.6002876
3.904158,-0.05301076,1.371143,0.6002609
3.915819,-0.05291158,1.371125,0.6002322
3.926522,-0.05285373,1.37118,0.6002239
3.937486,-0.05276215,1.371176,0.6002096
3.94818,-0.05269754,1.371124,0.6002163
3.959189,-0.05262777,1.371126,0.6001939
3.971212,-0.05257529,1.371136,0.600175
3.98029,-0.05252123,1.371168,0.6001452
3.991115,-0.05246115,1.371201,0.6000851
4.003084,-0.05238196,1.371238,0.6000568
4.012981,-0.05236107,1.371233,0.5999531
4.024923,-0.05227613,1.371202,0.5999089
4.036981,-0.05222049,1.371239,0.5998622
4.048157,-0.05212045,1.37127,0.5998379
4.057621,-0.0520581,1.371286,0.599846
4.069561,-0.0520128,1.371245,0.59982
4.079768,-0.05192217,1.37122,0.599785
4.091489,-0.05188179,1.371192,0.5998119
4.102923,-0.0518398,1.371179,0.5997704
4.114785,-0.05182436,1.371185,0.5997072
4.125535,-0.05174813,1.371154,0.5997392
4.137052,-0.05173171,1.371145,0.5997008
4.147308,-0.05168083,1.371177,0.5996946
4.159667,-0.05165449,1.371166,0.599697
4.170691,-0.05166823,1.371152,0.5996674
4.182254,-0.0516631,1.37115,0.5996722
4.194088,-0.05166793,1.371151,0.5996748
4.206419,-0.05166307,1.371127,0.5996736
4.218343,-0.05166271,1.371128,0.59965
4.230094,-0.05168608,1.371099,0.599672
4.242748,-0.05169249,1.371101,0.5997053
4.25368,-0.05165759,1.371119,0.5996166
4.263119,-0.0516209,1.371099,0.5995971
4.272892,-0.0515821,1.371117,0.5996066
4.296695,-0.05155313,1.371087,0.5996031
4.312196,-0.05155092,1.371054,0.5995711
4.323121,-0.05153951,1.370995,0.5996069
4.332355,-0.05157769,1.371009,0.5994917
4.343499,-0.05155104,1.371034,0.5995425
4.356034,-0.05155846,1.37105,0.5995303
4.365391,-0.05156246,1.371011,0.5994974
4.377717,-0.05156195,1.370962,0.5994791
4.388317,-0.05155605,1.370988,0.5993639
4.400001,-0.05155492,1.370955,0.5993108
4.410775,-0.05152825,1.370886,0.5992459
4.421929,-0.05154389,1.370852,0.5992056
4.434285,-0.05157834,1.370836,0.5991298
4.444762,-0.05160695,1.370773,0.5991043
4.454755,-0.0516465,1.370742,0.5990564
4.467583,-0.05167249,1.37072,0.5990313
4.477819,-0.05169863,1.370681,0.5989789
4.488859,-0.05174232,1.370662,0.5989035
4.499875,-0.05176923,1.370606,0.5988799
4.510594,-0.05175826,1.370522,0.5988551
4.522043,-0.05178061,1.370502,0.5988411
4.533746,-0.05173767,1.370497,0.5987912
4.546653,-0.05178177,1.370514,0.5987264
4.558746,-0.05175394,1.370482,0.59874
4.568559,-0.05172613,1.370482,0.5986599
4.578704,-0.05170619,1.370488,0.5986236
4.589657,-0.05165896,1.370485,0.5986134
4.599685,-0.05162802,1.370498,0.5985554
4.610858,-0.05158058,1.370514,0.5985545
4.623897,-0.05153266,1.370519,0.5985409
4.637487,-0.0514935,1.370495,0.5984818
4.646779,-0.05143139,1.37046,0.5985202
4.657935,-0.05138656,1.370463,0.5984715
4.668774,-0.05138147,1.370557,0.5984133
4.67771,-0.051357,1.370581,0.5983614
4.695518,-0.05135584,1.370561,0.5983576
4.705483,-0.0513081,1.37059,0.5983218
4.714933,-0.05126342,1.370674,0.5982505
4.724182,-0.05121818,1.370705,0.5982493
4.733114,-0.05113104,1.370785,0.5981616
4.744074,-0.05106601,1.370823,0.5981258
4.754718,-0.05100727,1.37085,0.5981053
4.764832,-0.05095655,1.370847,0.5981606
4.776823,-0.05090511,1.37086,0.5981423
4.788055,-0.05082127,1.370914,0.5981482
4.800164,-0.05074635,1.370923,0.5980939
4.811015,-0.05065057,1.370934,0.5980846
4.821614,-0.05058753,1.37094,0.5980743
4.832756,-0.05047953,1.370942,0.59805
4.842491,-0.050392,1.370946,0.5980572
4.855095,-0.05029631,1.370968,0.5980469
4.865509,-0.05019596,1.370997,0.5979654
4.876912,-0.05008805,1.371022,0.5979539
4.887933,-0.04995456,1.371024,0.5979425
4.898932,-0.04986036,1.371071,0.5979275
4.909797,-0.04973787,1.371091,0.5979296
4.921812,-0.04961756,1.371139,0.5978867
4.931914,-0.04949325,1.371156,0.5978845
4.943503,-0.04943004,1.371166,0.5977927
4.954642,-0.04930857,1.371174,0.5977882
4.965862,-0.04919839,1.371234,0.5977341
4.976875,-0.04908353,1.371261,0.597701
4.988293,-0.04895478,1.371298,0.5976239
4.999678,-0.04884064,1.371344,0.5976108
5.009954,-0.04870945,1.371372,0.597659
5.057949,-0.04833031,1.37149,0.5976728
5.071575,-0.04827356,1.371503,0.5977546
5.081939,-0.04821247,1.37152,0.597773
5.092242,-0.04814625,1.371452,0.5978185
5.102061,-0.04807219,1.371386,0.5977894
5.11048,-0.04808486,1.371369,0.5977143
5.122582,-0.04804721,1.371372,0.5977811
5.133523,-0.04804468,1.371401,0.5977541
5.144708,-0.04801592,1.371356,0.597809
5.156494,-0.04800418,1.371325,0.5978442
5.167554,-0.04801652,1.371279,0.5979141
5.179269,-0.0480192,1.371269,0.5979463
5.190166,-0.04801235,1.371264,0.5980257
5.199989,-0.04802945,1.371264,0.5981115
5.211627,-0.04799464,1.371248,0.5981275
5.223444,-0.04798776,1.371218,0.5981377
