time,LeftPupil X,LeftPupil Y,RightPupil X,RightPupil Y,PupilSize,LeftBlink,RightBlink
82,-0.1155472,0.2365415,0.02680516,0.05718017,3.475174,1,1
83,-0.03005552,0.2230206,0.1021386,0.05275786,3.389145,1,1
84,-0.1180938,0.1734279,0.002444148,-0.003066421,3.685822,0.7420149,0.7283107
85,-0.01512468,0.2004107,0.09592009,0.02271986,3.619019,0.9098219,0.9761881
86,-0.178006,0.3576998,-0.06125009,0.1739474,3.810593,1,1
87,-0.08600724,0.2484145,0.04298949,0.08097488,3.316437,1,1
88,-0.09395266,0.2333001,0.03830302,0.05966812,3.315155,1,1
89,-0.2162222,0.1818234,-0.05624777,0.2389073,-1,0.4286276,0.634033
90,-0.1778215,0.2492435,-0.02806115,0.09437239,3.261139,1,1
91,0.08517337,-0.07473338,-0.004620194,0.5729521,-1,0,0.1951056
92,-0.1818553,0.2736009,-0.04515439,0.09644353,3.642731,1,1
93,-0.232953,0.2309699,-0.08858752,0.07322508,3.366241,1,1
94,0.2514331,0.1894343,0.3699871,0.004838884,3.610519,0.7914304,0.8008701
95,0.07395983,0.2723787,0.1119994,0.08643097,3.605438,1,1
96,-0.09194404,0.004211128,-0.0517205,-0.09345186,-1,0.1772854,0.6014611
97,-0.1220472,0.08461863,0.3261011,-0.5006452,2.74292,0,0.09919074
98,0.04204786,0.2812668,0.1760865,0.1020364,3.773636,1,1
99,-0.09447616,0.2937722,0.02751493,0.1320109,3.527191,1,1
100,-0.01849478,0.2199188,0.1101712,0.0474211,3.403183,1,1
101,-0.09892172,0.237112,0.02635872,0.07493269,3.460983,1,1
102,-0.01187247,0.252403,0.1248772,0.07988816,3.431076,1,1
103,-0.2418549,0.3014186,-0.1001848,0.1455465,3.618454,1,1
104,-0.2155386,0.2620199,-0.07865351,0.1032887,3.56575,1,1
105,-0.04978108,0.1738738,0.08142519,0.03296876,3.039658,1,1
106,-0.03562486,-0.1063656,0.2914304,-0.5716946,-1,0,0
107,0.06715667,0.2308003,0.2066885,0.03758639,3.813156,1,1
